"INDICATIVO,C,254","NOMBRE,C,254","PROVINCIA,C,254","ALTITUD,N,19,8","COORD_X,N,19,8","COORD_Y,N,19,8","VAR_OBSVER,C,254","DATUM,C,254","TIPO,C,50"
0016B,REUS (CENTRE LECTURA),TARRAGONA,118,844798,4564018,heNvIHVmtTMpP,ETRS89,COMPLETAS
1082,BILBAO/AEROPUERTO,BIZKAIA,42,507593,4793919,FRhreENvIHBVmtTMpP,ETRS89,COMPLETAS
1495,VIGO/PEINADOR,PONTEVEDRA,261,35914,4691612,RhrSeNvIHBVmtTMpP,ETRS89,COMPLETAS
3013,MOLINA DE ARAGÓN,GUADALAJARA,1062,594513,4521786,hreNvIHBVmtTMpP,ETRS89,COMPLETAS
5270B,JAÉN,JAEN,580,428767,4181437,heNvIHBVmtTMpP,ETRS89,COMPLETAS
7031X,MURCIA/SAN JAVIER II,MURCIA,4,693232,4183489,RheNvIHBVmtTMpP,ETRS89,COMPLETAS
C029R,ARRECIFE (GRANJA CABILDO),LAS PALMAS,110,-531419.87,3254517.05,heEIHVmtTMpP,ETRS89,COMPLETAS
C658L,LAS PALMAS DE G.C. (TAFIRA CMT),LAS PALMAS,269,-728623.57,3169134.41,heENvIHBVmtTMpP,ETRS89,COMPLETAS
0341,TONA (ESCOLA),BARCELONA,611,933961.314,4645977.33,hSeNvHBVmtTMpP,ETRS89,COMPLETAS
1477U,VILAGARCIA DE AROUSA,PONTEVEDRA,36,26467.034,4730578.22,heIHBVmtTMpP,ETRS89,COMPLETAS
4116I,ALMAGRO / FAMET,CIUDAD REAL,622,435739.183,4311446.82,hSeNvIHBVmtTMpP,ETRS89,COMPLETAS
0016A,REUS/AEROPUERTO,TARRAGONA,71,850697,4563805,RheENvIHBVmtTMpP,ETRS89,COMPLETAS
0076,BARCELONA/AEROPUERTO,BARCELONA,4,924575,4583678,RheNvIHBVmtTMpP,ETRS89,COMPLETAS
0149D,MANRESA (LA CULLA),BARCELONA,291,902669,4630027,hSeENvIHVmtTMpP,ETRS89,COMPLETAS
0158O,MONTSERRAT,BARCELONA,738,903361,4616076,heIHmtTMpP,ETRS89,COMPLETAS
0189E,TERRASSA (LES FONTS),BARCELONA,198,920254,4610142,heNHBmtTMpP,ETRS89,COMPLETAS
0200E,BARCELONA (FABRA),BARCELONA,408,928286,4597891,hSeENvIHBVmtTMpP,ETRS89,COMPLETAS
0208,GRANOLLERS,BARCELONA,205,941551,4619874,heENvIHBVmtTMpP,ETRS89,COMPLETAS
0294B,LA BISBAL (D'EMPORDA 3),GIRONA,51,1000755,4663897,hSeEHBmtTMpP,ETRS89,COMPLETAS
0321,CAMPDEVANOL,GIRONA,731,926498,4687459,heHmtTMpP,ETRS89,COMPLETAS
0367,GIRONA/COSTA BRAVA,GIRONA,143,978053,4656065,RhSeENvIHBVmtTMpP,ETRS89,COMPLETAS
0394,LA VALL DE BIANYA (PUJALET),GIRONA,436,946612,4689795,FheEHBmtTMpP,ETRS89,COMPLETAS
0421E,ESPOLLA 'LES ALBERES',GIRONA,100,994447,4710591,heNvIHBmtTMpP,ETRS89,COMPLETAS
1014,HONDARRIBIA-MALKARROA,GIPUZKOA,4,597873,4801163,hSeNvIHBVmtTMpP,ETRS89,COMPLETAS
